# 原声 · 在册信源全名单
# 生成于 2026-09-14 13:22
# 在册 207 档 · 已退役 3 档

id                     tier  cat      出稿  名称 / 中文名
asianometry               1  ai        9  Asianometry
chinatalk                 1  ai        5  ChinaTalk
cogrev                    1  ai        8  The Cognitive Revolution / Cognitive Revolution
dwarkesh                  1  ai        7  Dwarkesh Podcast / Dwarkesh
eightythousand            1  ai        6  80,000 Hours Podcast / 80,000 Hours
interconnects             1  ai        5  Interconnects
laoshi                    1  ai        2  老石谈芯
latentspace               1  ai        6  Latent Space
lennys                    1  ai        5  Lenny's Podcast
nopriors                  1  ai        5  No Priors
oxide                     1  ai        3  Oxide and Friends
sv101                     1  ai        4  硅谷101
zhangxiaojun              1  ai        7  张小珺·商业访谈录
acquired                  1  biz       4  Acquired
bg2                       1  biz       0  BG2Pod / BG2
complexsys                1  biz       5  Complex Systems
ilt                       1  biz       4  Invest Like the Best
latetalk                  1  biz       5  晚点聊 LateTalk / 晚点聊
oddlots                   1  biz      18  Odd Lots
rationalreminder          1  biz       3  The Rational Reminder Podcast / Rational Reminder
sharptech                 1  biz       0  Sharp Tech
ycsp                      1  biz       6  Y Combinator
anthropic                 1  edu       0  Anthropic
karpathy                  1  edu       1  Andrej Karpathy
a16z                      2  ai        4  The a16z Show / a16z
aiandi                    2  ai        3  AI & I / AI & I（Every）
decoder                   2  ai        0  Decoder
deepmind                  2  ai        1  Google DeepMind: The Podcast / Google DeepMind
hardfork                  2  ai        0  Hard Fork
lex                       2  ai        1  Lex Fridman Podcast / Lex Fridman
lightstar                 2  ai        1  卫诗婕｜漫谈Light the Star / 漫谈Light the Star
madpod                    2  ai        1  The MAD Podcast / MAD Podcast
mlst                      2  ai        1  Machine Learning Street Talk / ML Street Talk
pragmatic                 2  ai        3  The Pragmatic Engineer
techtechpotato            2  ai        8  TechTechPotato
trainingdata              2  ai        1  Training Data
unsupervised              2  ai        0  Unsupervised Learning
whatsnext                 2  ai        5  What's Next｜科技早知道 / 科技早知道
allin                     2  biz       1  All-In Podcast / All-In
bizthisway                2  biz       1  商业就是这样
breakdowns                2  biz       0  Business Breakdowns
eastasia                  2  biz       2  东亚观察局
empire                    2  biz       1  Empire / Empire（Blockworks）
fengtouquan               2  biz       1  疯投圈
howibuilt                 2  biz       0  How I Built This
indicator                 2  biz       0  The Indicator from Planet Money / The Indicator
